,category,title,body
0,animal,cow with no legs,what do you call a cow with no legs? ground beef!
1,animal,jumping cow,what do you call a cow jumping over a barbed wire fence? utter destruction.
2,other / misc,"black, white and red",what is black and white and red all over? a newspaper.
3,bar,guy in a bar,"so, this guy walks into a bar. and says,  ouch ."
4,one liners,progress,"if the opposite of pro is con, is not the opposite of progress, congress?"
5,other / misc,guy with no limbs,what do you call a guy with no arms or legs floating in the ocean? bob!
7,bar,into the bar,there is this dyslexic guy... he walked into a bra...
11,lawyer,500 lawyers,what do you call 500 lawyers at the bottom of the sea? a start.
15,one liners,infants vs adults,do infants enjoy infancy as much as adults enjoy adultery?
16,one liners,pig,"if a pig loses its voice, is it disgruntled?"
20,blond,clever blond,what do you call a blond with half a brain? gifted.
21,gross,two legs,"q what has two legs, and bleeds? a half a dog!"
24,yo momma,pepsi challenge,"yo momma is so stupid, she took the pepsi challenge and chose jif."
37,blond,dating blonde,how can you tell if a blonde woman has been dating? by the belt buckle imprint on her forehead.
38,blond,blonde deflowering,what does a blonde say when she loses her virginity?  so are you guys all on the same team? 
39,lawyer,shingles,how many lawyers does it take to shingle the roof of a house? it depends on how thin you slice 'em.
42,animal,termit,"a termite walks into a bar and asks,  is the bartender here? "
43,puns,diarhea,"did you know diarhea is part of your inheritence? ya, it flows in our genes."
48,one liners,bayl,"when cryptography is outlawed, bayl bhgynjf jvyy unir cevinpl"
62,one liners,two guys,two guys walked into a bar... you would have thought the second one would have ducked.
64,animal,concrete wall,two fish swim into a concrete wall. one turns to the other and says  dam .
67,one liners,always remember,"remember, no one is listening until you fart."
68,one liners,if at first...,if at first you do not succeed ... avoid skydiving.
72,one liners,point of note,never play leapfrog with a unicorn.
74,yo momma,bald,"your momma is so ugly, she is not bald, it is her hair running away from her face!"
76,insults,gap,"the gap between your teeth is so big, i do not know whether to smile back or kick a field goal."
77,insults,sleep,"you are so stupid, you took a ruler with you to bed to see how long you slept!"
78,yo momma,toenails,"yo mama is so big, she had to call sherwin williams to paint her toenails!"
80,insults,around the house,"you are so fat, when you sit around the house, you really sit around the house."
82,redneck,thirty-two rednecks,what do you call 32 rednecks in a room? a full set of teeth!
123,knock-knock,interrupting cow,knock knock. who is there? interrupting cow interrupting co    moo
124,yo momma,so ugly,yo momma so ugly she went into a haunted house and came out with a job application.
125,yo momma,so stupid,yo momma so stupid she got hit by a parked car.
126,yo momma,ugly contest,"yo momma is so ugly, when she joined an ugly contest, they said  sorry, no professionals... "
128,yo momma,break and enter,"yo mama is so ugly, two guys broke into her apt., she yelled  rape , they yelled  no! "
130,yo momma,halloween,"your momma is so ugly, the government moved halloween to her birthday."
134,blond,closet,what do you call the skeleton of a blonde you find in a closet? 1950 is hide n seek champion.
137,blond,ice cubes,why should you never ask a blonde to make ice cubes for you? she will never remember the recipe.
144,blond,computer,how do you tell a blondes been using your computer? there is whiteout on the screen
147,insults,indecent,you are so ugly when you go outside your arrested for indecent exposure.
149,lightbulb,light bulb,how many surrealists does it take to change a light bulb? fish!
152,other / misc,boy scouts,how many boy scouts does it take to screw in a lightbulb? three  each to do one good turn daily.
153,yo momma,so fat,"yo mama is so fat, she did not have a birth certificate, she had a blueprint!"
154,yo momma,shade,"yo mama is so fat, she sells shade, and that gives her enough to feed a family!"
155,yo momma,so poor,"yo momma is so poor, i blew my nose, and she said,  lord thank us, we have food! "
165,tech,computer vs. air conditioner,how is a computer like an air conditioner? when you open windows it will not work!
172,gross,bravery,what is the definition of bravery? a man with diarrhea chancing a fart!
173,blond,santa,how does santa greet the three blonde sisters? ho. ho. ho.
174,insults,birth control,you were so ugly as a baby you were the poster child on the birth control posters.
176,other / misc,new york,why are new yorkers always depressed? because the light at the end of the tunnel is new jersey.
178,yo momma,football,yo mama is so dumb she took a spoon to the superbowl!
179,yo momma,long time,"yo mama is so stupid, it takes her two hours to watch 60 minutes!"
187,knock-knock,duh...,knock knock. who is there? someone too short to ring the doorbell.
189,puns,two buzzards...,"two buzzards were eating a dead clown. one said to the other,  does this taste funny to you? "
190,yo momma,yo mama,"yo mama is so dumb, she had you."
192,one liners,atm,why do they have braille on drive thru atms?
193,one liners,women,can women put mascara on with their mouth closed?
195,one liners,depression,depression is merely anger without enthusiasm.
196,one liners,birds,"the early bird may get the worm, but the second mouse gets the cheese."
197,one liners,eagles,"eagles may soar, but weasels do not get sucked into jet engines."
198,one liners,cholesterol,i drive way too fast to worry about my cholesterol.
199,one liners,success,"success is relative. the more success, the more relatives!"
200,one liners,freeway,"when everything is coming your way, you are on the wrong side of the freeway."
204,other / misc,daffynition,"antique an item your grandparents bought, your parents got rid of, and you are buying again."
206,one liners,good way,a good way to save face is to keep the lower half shut.
207,one liners,golden,"silence is golden, because you never have to explain something you did not say."
208,one liners,insomnia,"i am such an insomniac, the sheep fall asleep before i do."
209,yo momma,so fat,"yo mama is so fat, when she walks by the television set you miss three episodes."
210,other / misc,i know,i know the day i gave up exercise. you wanna know? check my birth certificate.
211,yo mama,she so fat,yo mamma so fat when she wears high heels 2 hours later they are flip flops.
212,yo momma,nintendo,your mom is so fat she rolled over a supernintendo and made 4 game boys.
213,yo momma,pictures,your mom is so fat her picture fell down.
214,yo momma,tan,"your mom is so fat, she is the only one at the beach that gets a tan."
215,yo momma,pillows,"yo momma is so fat she had a dream of marshmallows, and when she woke up, her pillows were gone."
218,yo momma,graveyard,your momma so ugly when she walked through the graveyard 2 men came after her with shovels.
219,yo mama,skittles,yo mama so fat when she sat on a rainbow skittles came out!
220,yo momma,gravy,your momma so fat when she broke a leg gravy came out.
221,yo momma,the track,your momma so ugly when she went to the horse track people started placing bets on her.
235,yo momma,yo mama*2,yo mama is so fat that the local restaurant says  maximum occupancy 115 people or yo mama.
236,yo momma,milk carton,yo mama is so fat that when she ran away they had to use all four sides of the milk carton.
237,yo momma,yo mama*3,"yo mama is so ugly, when she looks in the mirror her reflection ducks."
240,other / misc,boomerang,what do you call a boomerang that does not work? a stick.
241,animal,horse,"a horse walked into a bar. the barman said,  why the long face? "
247,knock-knock,dwayne,"knock, knock. who is there? dwayne dwayne who? dwayne the bathtub mommy, i am dwowning."
248,yo momma,tv's,"yo dad said to yo mama,  we are getting a color tv!  and yo mama asked,  what color? "
250,yo momma,driver,yo mama is so stupid she waited at a stop sign until it said go.
251,yo momma,glass,"yo mama is so stupid, she climbed over a glass wall to see the other side."
252,yo momma,restaurants,yo mama is so stupid she stole a free sample.
253,yo momma,blood,yo mama is so stupid she could not even pass a blood test.
254,yo momma,lol,yo mama is so stupid she thinks these jokes are funny.
255,yo momma,weight,"yo momma is so stupid, she got locked in mcdonalds, and lost 300 pounds."
257,yo momma,yo momma,"yo momma is so stupid, she put a free sample on layaway."
258,yo momma,doorway,"yo mama is so poor that when i walked in the front door, i tripped over the back gate."
259,other / misc,actual headline,an actual headline   include your children when baking cookies 
260,other / misc,actual headline#2,an actual headline   police begin campaign to run down jaywalkers 
261,other / misc,headline#3,an actual headline  safety experts say school bus passengers should be belted.
262,other / misc,headline#4,"an actual headline  deer kill 17,000"
265,animal,charging rhino,how do you keep a rhino from charging? take away its credit card.
270,other / misc,psychic,what do you call a short psychic on the lam? ~~~~~~~~~~~~~~~~~~~~~ a small medium at large!
271,puns,computer,how do you praise a computer? say  data boy !
287,lawyer,sharks,q  why will not sharks attack lawyers? a  professional courtesy.
288,lawyer,buried,q  what do you have when a lawyer is buried up to his neck in sand? a  not enough sand.
289,lawyer,geese and ducks,"q  what can a goose do, a duck can not, and a lawyer should? a  stick his bill up his rear."
291,knock-knock,boo!,knock knock who is there? boo! boo who? do not cry it is just a joke
